Date	FX_Australia_USDAUD	FX_Japan_USDJPY	FX_China_USDCNY	FX_Canada_USDCAD	FX_Switzerland_USDCHF	FX_USA_USDUSD	FX_UK_USDGBP	FX_HK_USDHKD	FX_France_USDEUR_Fra	FX_Germany_USDEUR_Ger	FX_South_Korea_USDKRW	FX_Brazil_USDBRL	FX_Ireland_USDEUR_Ire	FX_Taiwan_USDTWD	FX_India_USDINR	FX_Netherlands_USDEUR_Ned	FX_Russia_USDRUB	FX_South_Africa_USDZAR
31-Dec-99	1.5229	102.5100	8.2795	1.4461	1.5907	1.0000	0.6180	7.7735	0.9938	0.9938	1140.0000	1.7990	0.9938	31.3950	43.5500	0.9938	27.5500	6.1548
31-Jan-00	1.5690	107.3200	8.2777	1.4479	1.6576	1.0000	0.6187	7.7804	1.0302	1.0302	1124.9300	1.7840	1.0302	30.6970	43.6350	1.0302	28.6350	6.3060
29-Feb-00	1.6190	110.3300	8.2786	1.4497	1.6653	1.0000	0.6332	7.7828	1.0371	1.0371	1131.1100	1.7665	1.0371	30.7300	43.6200	1.0371	28.7000	6.3340
31-Mar-00	1.6473	102.7800	8.2787	1.4488	1.6653	1.0000	0.6285	7.7866	1.0466	1.0466	1116.4300	1.7360	1.0466	30.4300	43.6200	1.0466	28.6600	6.5250
28-Apr-00	1.7120	108.1800	8.2799	1.4798	1.7157	1.0000	0.6444	7.7893	1.0966	1.0966	1109.7500	1.8070	1.0966	30.6210	43.6700	1.0966	28.4300	6.7885
31-May-00	1.7461	107.6600	8.2773	1.4966	1.6800	1.0000	0.6661	7.7922	1.0661	1.0661	1129.4500	1.8240	1.0661	30.8100	44.5750	1.0661	28.2525	6.9680
30-Jun-00	1.6760	106.1200	8.2782	1.4810	1.6343	1.0000	0.6594	7.7956	1.0499	1.0499	1115.0300	1.8060	1.0499	30.8000	44.6750	1.0499	28.0700	6.7950
31-Jul-00	1.7225	109.4300	8.2792	1.4863	1.6699	1.0000	0.6668	7.7986	1.0792	1.0792	1116.7500	1.7815	1.0792	31.0690	45.0100	1.0792	27.8600	6.9538
31-Aug-00	1.7333	106.6700	8.2786	1.4720	1.7424	1.0000	0.6909	7.7988	1.1264	1.1264	1107.7800	1.8235	1.1264	31.0730	45.7900	1.1264	27.7750	6.9785
29-Sep-00	1.8425	108.1400	8.2798	1.5032	1.7247	1.0000	0.6765	7.7964	1.1329	1.1329	1115.1500	1.8440	1.1329	31.3300	46.0400	1.1329	27.7820	7.2350
31-Oct-00	1.9277	108.8400	8.2775	1.5237	1.7973	1.0000	0.6910	7.7974	1.1780	1.1780	1137.0000	1.9010	1.1780	32.3610	46.7300	1.1780	27.8820	7.5500
30-Nov-00	1.8939	110.3800	8.2777	1.5370	1.7290	1.0000	0.7022	7.7994	1.1456	1.1456	1215.5000	1.9800	1.1456	33.0680	46.8650	1.1456	27.9340	7.7444
29-Dec-00	1.7897	114.4100	8.2774	1.4991	1.6111	1.0000	0.6698	7.7997	1.0608	1.0608	1265.0000	1.9500	1.0608	33.0820	46.6750	1.0608	28.1600	7.5788
31-Jan-01	1.8167	116.5700	8.2781	1.4978	1.6354	1.0000	0.6828	7.7988	1.0677	1.0677	1257.5000	1.9720	1.0677	32.3750	46.4000	1.0677	28.3700	7.7350
28-Feb-01	1.9010	117.3700	8.2783	1.5364	1.6681	1.0000	0.6919	7.7995	1.0827	1.0827	1254.0000	2.0460	1.0827	32.3450	46.5500	1.0827	28.6700	7.6713
30-Mar-01	2.0595	126.3400	8.2777	1.5757	1.7428	1.0000	0.7062	7.7998	1.1406	1.1406	1331.5000	2.1525	1.1406	32.8430	46.6150	1.1406	28.7600	8.0125
30-Apr-01	1.9518	123.4800	8.2774	1.5350	1.7330	1.0000	0.6982	7.7991	1.1247	1.1247	1315.5000	2.2000	1.1247	32.9140	46.8300	1.1247	28.9300	8.0330
31-May-01	1.9759	119.2300	8.2770	1.5380	1.7979	1.0000	0.7047	7.7998	1.1830	1.1830	1280.0000	2.3820	1.1830	33.9000	47.0000	1.1830	29.1620	8.0010
29-Jun-01	1.9545	124.6500	8.2767	1.5143	1.7921	1.0000	0.7059	7.7998	1.1779	1.1779	1300.5000	2.3105	1.1779	34.4300	47.0400	1.1779	29.1470	8.0450
31-Jul-01	1.9614	125.0000	8.2770	1.5335	1.7265	1.0000	0.7019	7.7998	1.1410	1.1410	1298.0000	2.4665	1.1410	34.7500	47.1350	1.1410	29.3550	8.2575
31-Aug-01	1.8888	118.7900	8.2769	1.5512	1.6618	1.0000	0.6879	7.8001	1.0961	1.0961	1279.5000	2.5635	1.0961	34.5450	47.1350	1.0961	29.4230	8.4390
28-Sep-01	2.0356	119.5600	8.2768	1.5792	1.6204	1.0000	0.6783	7.7998	1.0972	1.0972	1304.5000	2.6700	1.0972	34.5450	47.8600	1.0972	29.4670	9.0265
31-Oct-01	1.9883	122.4200	8.2768	1.5884	1.6337	1.0000	0.6874	7.7999	1.1105	1.1105	1290.5000	2.6965	1.1105	34.5260	48.0050	1.1105	29.7290	9.4420
30-Nov-01	1.9163	123.4800	8.2774	1.5730	1.6415	1.0000	0.7016	7.7988	1.1156	1.1156	1273.0000	2.4985	1.1156	34.4630	47.9250	1.1156	29.9150	10.2555
31-Dec-01	1.9629	131.6600	8.2765	1.5930	1.6603	1.0000	0.6875	7.7980	1.1242	1.1242	1313.5000	2.3105	1.1242	34.9500	48.2450	1.1242	30.5050	11.9610
31-Jan-02	1.9697	134.6800	8.2766	1.5891	1.7193	1.0000	0.7088	7.7993	1.1636	1.1636	1311.5000	2.4130	1.1636	34.8890	48.5200	1.1636	30.7100	11.4150
28-Feb-02	1.9311	133.3600	8.2765	1.6016	1.6966	1.0000	0.7056	7.7994	1.1502	1.1502	1318.0000	2.3635	1.1502	35.1110	48.7400	1.1502	30.9620	11.3650
29-Mar-02	1.8771	132.7300	8.2774	1.5949	1.6813	1.0000	0.7011	7.7998	1.1472	1.1472	1327.0000	2.3250	1.1472	34.9500	48.8150	1.1472	31.2100	11.3300
30-Apr-02	1.8568	128.5400	8.2773	1.5677	1.6175	1.0000	0.6861	7.7991	1.1105	1.1105	1294.0500	2.3610	1.1105	34.7140	48.9500	1.1105	31.2000	10.6650
31-May-02	1.7626	124.2200	8.2765	1.5279	1.5678	1.0000	0.6871	7.7998	1.0704	1.0704	1221.5000	2.5130	1.0704	33.9720	49.0450	1.0704	31.3350	9.8330
28-Jun-02	1.7776	119.4700	8.2771	1.5174	1.4810	1.0000	0.6521	7.7994	1.0086	1.0086	1201.2500	2.8175	1.0086	33.5420	48.8850	1.0086	31.4750	10.2950
31-Jul-02	1.8423	119.8500	8.2766	1.5842	1.4852	1.0000	0.6395	7.7999	1.0229	1.0229	1188.0000	3.4600	1.0229	33.7450	48.6700	1.0229	31.4750	10.2100
30-Aug-02	1.8154	118.4600	8.2768	1.5585	1.4988	1.0000	0.6452	7.8000	1.0180	1.0180	1201.9500	3.0060	1.0180	34.2400	48.5100	1.0180	31.6330	10.5600
30-Sep-02	1.8428	121.8100	8.2772	1.5868	1.4752	1.0000	0.6374	7.7997	1.0136	1.0136	1222.5000	3.7395	1.0136	34.8560	48.3750	1.0136	31.6900	10.5400
31-Oct-02	1.8029	122.4800	8.2772	1.5584	1.4767	1.0000	0.6391	7.7996	1.0098	1.0098	1220.0000	3.6300	1.0098	34.6570	48.3600	1.0098	31.7850	10.0050
29-Nov-02	1.7827	122.5500	8.2772	1.5653	1.4832	1.0000	0.6420	7.7989	1.0057	1.0057	1208.7500	3.6530	1.0057	34.8110	48.3200	1.0057	31.8650	9.2600
31-Dec-02	1.7801	118.7900	8.2770	1.5718	1.3836	1.0000	0.6211	7.7987	0.9529	0.9529	1185.7000	3.5400	0.9529	34.6350	47.9750	0.9529	31.9550	8.5702
31-Jan-03	1.7031	119.8700	8.2769	1.5195	1.3639	1.0000	0.6071	7.8000	0.9287	0.9287	1174.0000	3.4975	0.9287	34.7310	47.7950	0.9287	31.8490	8.5152
28-Feb-03	1.6432	118.1000	8.2775	1.4846	1.3520	1.0000	0.6359	7.7994	0.9253	0.9253	1193.6500	3.5685	0.9253	34.7470	47.6700	0.9253	31.5845	8.0800
31-Mar-03	1.6539	118.0900	8.2774	1.4673	1.3514	1.0000	0.6318	7.7992	0.9161	0.9161	1254.4500	3.3525	0.9161	34.7490	47.4700	0.9161	31.3863	7.8651
30-Apr-03	1.5956	118.8800	8.2770	1.4301	1.3547	1.0000	0.6257	7.7994	0.8942	0.8942	1215.2500	2.9105	0.8942	34.8480	47.3250	0.8942	31.1100	7.2480
30-May-03	1.5306	119.3000	8.2768	1.3666	1.2979	1.0000	0.6112	7.7988	0.8482	0.8482	1206.0000	2.9675	0.8482	34.7090	47.0800	0.8482	30.7250	8.0830
30-Jun-03	1.4847	119.8000	8.2775	1.3467	1.3509	1.0000	0.6043	7.7986	0.8687	0.8687	1193.0500	2.8440	0.8687	34.6420	46.4875	0.8687	30.3655	7.4704
31-Jul-03	1.5413	120.5500	8.2773	1.4043	1.3709	1.0000	0.6209	7.7993	0.8904	0.8904	1180.0000	2.9660	0.8904	34.4150	46.1420	0.8904	30.2591	7.3715
29-Aug-03	1.5442	116.9200	8.2771	1.3865	1.3999	1.0000	0.6330	7.7994	0.9101	0.9101	1178.3500	2.9760	0.9101	34.0660	45.8400	0.9101	30.5120	7.3770
30-Sep-03	1.4696	111.5000	8.2770	1.3521	1.3192	1.0000	0.6018	7.7418	0.8579	0.8579	1150.1000	2.9000	0.8579	33.7350	45.7600	0.8579	30.5870	6.9309
31-Oct-03	1.4111	109.9400	8.2766	1.3198	1.3395	1.0000	0.5897	7.7642	0.8625	0.8625	1183.6300	2.8675	0.8625	33.9780	45.3200	0.8625	29.9450	6.8960
28-Nov-03	1.3808	109.6300	8.2770	1.3008	1.2910	1.0000	0.5808	7.7650	0.8338	0.8338	1202.0500	2.9460	0.8338	34.2080	45.7700	0.8338	29.7405	6.3926
31-Dec-03	1.3298	107.2200	8.2767	1.2970	1.2391	1.0000	0.5600	7.7638	0.7940	0.7940	1192.1000	2.8915	0.7940	33.9600	45.6250	0.7940	29.2425	6.6843
30-Jan-04	1.3088	105.7100	8.2768	1.3252	1.2565	1.0000	0.5483	7.7771	0.8015	0.8015	1173.5000	2.9345	0.8015	33.3900	45.2650	0.8015	28.5300	7.0713
27-Feb-04	1.2925	109.1100	8.2769	1.3343	1.2623	1.0000	0.5352	7.7838	0.8005	0.8005	1176.5300	2.9059	0.8005	33.3650	45.2350	0.8005	28.5105	6.6328
31-Mar-04	1.3042	104.2300	8.2770	1.3093	1.2659	1.0000	0.5417	7.7920	0.8120	0.8120	1147.2800	2.8953	0.8120	33.0200	43.6000	0.8120	28.5190	6.2925
30-Apr-04	1.3874	110.5200	8.2771	1.3722	1.2956	1.0000	0.5624	7.7995	0.8350	0.8350	1173.3500	2.9330	0.8350	33.3690	44.5000	0.8350	29.0060	6.9901
31-May-04	1.3984	109.5200	8.2768	1.3624	1.2541	1.0000	0.5458	7.7939	0.8205	0.8205	1160.1000	3.1890	0.8205	33.3760	45.4650	0.8205	28.9940	6.5150
30-Jun-04	1.4306	108.7700	8.2766	1.3328	1.2487	1.0000	0.5494	7.7997	0.8196	0.8196	1155.4500	3.0850	0.8196	33.7750	46.0600	0.8196	29.0698	6.1362
30-Jul-04	1.4230	111.3600	8.2770	1.3314	1.2815	1.0000	0.5495	7.7998	0.8321	0.8321	1170.1000	3.0365	0.8321	34.1360	46.4700	0.8321	29.1060	6.2675
31-Aug-04	1.4204	109.1700	8.2765	1.3127	1.2664	1.0000	0.5548	7.8000	0.8208	0.8208	1152.4500	2.9270	0.8208	34.0530	46.3538	0.8208	29.2620	6.6313
30-Sep-04	1.3744	110.0500	8.2765	1.2613	1.2461	1.0000	0.5519	7.7960	0.8041	0.8041	1151.8500	2.8608	0.8041	33.9840	45.9500	0.8041	29.2229	6.4535
29-Oct-04	1.3363	105.8100	8.2766	1.2177	1.1943	1.0000	0.5445	7.7837	0.7814	0.7814	1119.3500	2.8570	0.7814	33.4350	45.3875	0.7814	28.7455	6.1000
30-Nov-04	1.2939	103.0700	8.2765	1.1874	1.1413	1.0000	0.5237	7.7750	0.7532	0.7532	1048.5000	2.7200	0.7532	32.2100	44.6350	0.7532	28.1300	5.8033
31-Dec-04	1.2817	102.6300	8.2765	1.2019	1.1404	1.0000	0.5213	7.7726	0.7378	0.7378	1035.1000	2.6560	0.7378	31.7400	43.4600	0.7378	27.7200	5.6650
31-Jan-05	1.2892	103.7000	8.2764	1.2398	1.1889	1.0000	0.5311	7.7996	0.7670	0.7670	1026.0000	2.6088	0.7670	31.7450	43.7200	0.7670	28.0200	5.9850
28-Feb-05	1.2630	104.6300	8.2765	1.2339	1.1631	1.0000	0.5205	7.7989	0.7561	0.7561	1004.0300	2.5875	0.7561	31.0800	43.6750	0.7561	27.6750	5.8175
31-Mar-05	1.2938	107.1500	8.2764	1.2104	1.1965	1.0000	0.5290	7.7992	0.7713	0.7713	1015.4500	2.6790	0.7713	31.5300	43.7450	0.7713	27.8621	6.2395
29-Apr-05	1.2798	104.7500	8.2764	1.2583	1.1951	1.0000	0.5239	7.7937	0.7769	0.7769	997.1000	2.5280	0.7769	31.2710	43.5350	0.7769	27.7810	6.0858
31-May-05	1.3229	108.5700	8.2767	1.2549	1.2483	1.0000	0.5503	7.7801	0.8127	0.8127	1008.0000	2.4076	0.8127	31.3590	43.7000	0.8127	28.2405	6.8120
30-Jun-05	1.3115	110.9200	8.2764	1.2251	1.2814	1.0000	0.5582	7.7710	0.8260	0.8260	1034.5000	2.3325	0.8260	31.6150	43.4850	0.8260	28.6300	6.6495
29-Jul-05	1.3217	112.5000	8.1056	1.2233	1.2894	1.0000	0.5689	7.7738	0.8250	0.8250	1026.9500	2.3787	0.8250	31.8400	43.4800	0.8250	28.6300	6.5811
31-Aug-05	1.3241	110.6100	8.0998	1.1878	1.2530	1.0000	0.5543	7.7718	0.8099	0.8099	1034.5000	2.3570	0.8099	32.7500	44.1500	0.8099	28.4800	6.3660
30-Sep-05	1.3122	113.5100	8.0920	1.1630	1.2939	1.0000	0.5665	7.7575	0.8315	0.8315	1042.4000	2.2275	0.8315	33.1880	44.0150	0.8315	28.4977	6.3701
