Date	Australia_AUD	Japan_JPY	China_CNY	Canada_CAD	Switzerland_CHF	USA_USD	UK_GBP	HK_HKD	France_EUR	Germany_EUR	South_Korea_KRW	Brazil_BRL	Ireland_EUR	Taiwan_TWD	India_INR	Netherlands_EUR	Russia_RUB	South_Africa_ZAR
31-Dec-99	3117.7	18934.34	1366.58	8413.75	7570.1	1469.25	6930.2	16962.1	5958.32	6958.14	1028.07	17091.6	5017.54	8448.84	1480.45	671.41	151.87	7806.19
31-Jan-00	3080.2	19539.7	1534.997	8481.11	6894.7	1394.46	6268.5	15532.34	5659.81	6835.6	943.88	16388.3	4903.05	9744.89	1546.2	612.38	188.81	7601.22
29-Feb-00	3124.6	19959.52	1714.578	9128.99	6910.1	1366.42	6232.6	17169.44	6190.96	7644.55	828.38	17660.2	5116.42	9435.94	1654.8	664.28	191.49	7127.31
31-Mar-00	3133.255	20337.32	1800.225	9462.39	7428.1	1498.58	6540.2	17406.54	6286.05	7599.39	860.94	17820.4	5647.6	9854.95	1528.45	662.29	254.68	7226.15
28-Apr-00	3115.805	17973.7	1836.321	9347.61	7406.2	1452.43	6327.4	15519.3	6419.72	7414.68	725.39	15537.6	5384.12	8777.35	1406.55	661.38	242.85	6761.72
31-May-00	3081.018	16332.45	1894.554	9251.99	7754	1420.6	6359.3	14713.86	6426.26	7109.67	731.88	14956.6	4915.62	8939.52	1380.45	655.5	217.05	6769.46
30-Jun-00	3311.207	17411.05	1928.106	10195.45	7761.6	1454.6	6312.7	16155.78	6446.54	6898.21	821.22	16727.9	4916.62	8265.09	1471.45	672.14	194.93	7144.04
31-Jul-00	3251.134	15727.49	2023.539	10406.31	8023.2	1430.83	6365.3	16840.98	6542.49	7190.37	705.97	16454.6	4985.85	8114.92	1332.85	668.18	200.22	7220.13
31-Aug-00	3297.882	16861.26	2021.199	11247.9	8219.9	1517.68	6672.7	17097.51	6625.42	7216.45	688.62	17346.7	5403.44	7616.98	1394.1	689.52	239.03	7966.83
29-Sep-00	3298.875	15747.26	1910.161	10377.9	7713.3	1436.51	6294.2	15648.98	6266.63	6798.12	613.22	15928.4	5737.16	6185.14	1271.65	661.52	204.61	7783.22
31-Oct-00	3254.701	14539.6	1961.287	9639.6	7977.5	1429.4	6438.4	14895.34	6397.66	7077.44	514.48	14867.2	5862.66	5544.18	1172.75	680.56	192.22	7757.53
30-Nov-00	3274.676	14648.51	2070.613	8819.9	7981.9	1314.95	6142.2	13984.39	5928.08	6372.33	509.23	13287.4	5654.45	5256.93	1268.15	649.92	149.84	7410.55
29-Dec-00	3206.261	13785.69	2073.477	8933.7	8135.4	1320.28	6222.5	15095.53	5926.42	6433.61	504.62	15259.3	5722.53	4739.09	1263.55	637.6	144.39	7862.61
31-Jan-01	3341.84	13843.55	2065.606	9321.87	8057.4	1366.01	6297.5	16102.35	5998.49	6795.14	617.91	17672.8	5891.26	5936.2	1371.7	639.98	167.74	8626.84
28-Feb-01	3326.586	12883.54	1959.18	8078.7	7701.8	1239.94	5917.9	14787.87	5367.48	6208.24	578.1	15891.4	5881.82	5674.69	1351.4	597.33	158.1	8633.88
30-Mar-01	3147.343	12999.7	2112.775	7608	7167.8	1160.33	5633.7	12760.64	5180.45	5829.95	523.22	14438.5	5541.36	5797.92	1148.2	558.36	166.67	7802.53
30-Apr-01	3329.542	13934.32	2119.184	7946.63	7327.2	1249.46	5966.9	13386.04	5640.03	6264.51	577.36	14917.5	5833.67	5381.67	1125.25	593.09	178.29	8610.82
31-May-01	3379.254	13262.14	2214.257	8161.87	7487.6	1255.82	5796.1	13174.41	5454.19	6123.26	612.16	14650	6267.4	5048.86	1167.9	585.15	207.71	8984.63
29-Jun-01	3490.458	12969.05	2218.029	7736.35	7240.2	1224.42	5642.5	13042.53	5225.33	6058.38	595.13	14559.8	6435.15	4883.43	1107.9	573.5	219.4	8746.98
31-Jul-01	3324.687	11860.77	1920.318	7689.69	6847.3	1211.23	5529.1	12316.69	5085.51	5861.19	541.55	13754.2	6060.64	4352.98	1072.85	548.72	200.64	8076.82
31-Aug-01	3275.745	10713.51	1834.138	7399.22	6582.4	1133.58	5345	11090.48	4689.34	5188.17	545.11	12840.6	5757.76	4509.44	1053.75	523.63	193.72	8492.13
28-Sep-01	3049.678	9774.68	1764.867	6838.56	6014.2	1040.94	4903.4	9950.7	4079.02	4308.15	479.68	10635.7	5002.77	3636.94	913.85	453.87	167.33	7571.97
31-Oct-01	3249.617	10366.34	1689.17	6885.7	6081	1059.78	5039.7	10073.97	4341.29	4559.13	537.81	11364.7	5221.16	3903.49	971.9	460.33	187.41	8078.83
30-Nov-01	3337.446	10697.44	1747.993	7425.65	6237	1139.45	5203.6	11279.25	4476.06	4989.91	643.89	12931.7	5463.77	4441.12	1067.15	492.67	213.32	9010.86
31-Dec-01	3422.319	10542.62	1645.971	7688.41	6417.8	1148.08	5217.4	11397.21	4624.58	5160.1	693.7	13577.6	5707	5551.24	1059.05	506.78	236.24	10110.17
31-Jan-02	3464.172	9997.8	1491.665	7648.49	6237.3	1130.21	5164.8	10725.3	4461.87	5107.61	748.07	12721.5	5292.37	5872.14	1080.45	500.92	260.77	10025.45
28-Feb-02	3414.341	10587.83	1524.701	7637.5	6352.8	1106.73	5101	10482.55	4462.99	5039.08	819.99	14033.3	4959.61	5696.11	1142.05	494.91	262.65	10632.71
29-Mar-02	3414.774	11024.94	1603.905	7851.47	6655.2	1147.39	5271.8	11032.92	4688.02	5397.29	895.58	13254.5	5186.57	6167.47	1129.55	531.21	302.96	10766.34
30-Apr-02	3350.018	11492.54	1667.749	7663.39	6557.6	1076.92	5165.6	11497.58	4462.74	5041.2	842.34	13085.1	5146.72	6065.73	1084.5	511.28	342.17	10660.26
31-May-02	3373.597	11763.7	1515.733	7656.13	6574.8	1067.14	5085.1	11301.94	4274.64	4818.3	796.4	12861.4	5237.94	5675.65	1028.8	484.55	333.61	10798.01
28-Jun-02	3215.955	10621.84	1732.755	7145.61	5979.7	989.81	4656.4	10598.55	3897.99	4382.56	742.72	11139.2	4743.45	5153.71	1057.8	439.66	304.18	10233.44
31-Jul-02	3086.198	9877.94	1651.594	6605.42	5196.7	911.62	4246.2	10267.36	3415.38	3700.14	717.99	9762.6	4243.39	4940.38	958.9	363.59	281.8	8768.15
30-Aug-02	3120.134	9619.3	1666.618	6611.95	5230.5	916.07	4227.3	10043.87	3366.21	3712.94	736.4	10382.2	4400.98	4764.94	1010.6	371.59	292.23	9225.96
30-Sep-02	2970.88	9383.29	1581.618	6180.42	4783	815.28	3721.8	9072.21	2777.45	2769.03	646.42	8622.5	3838.52	4191.81	963.15	296.36	289.96	8991.75
31-Oct-02	3042.931	8640.48	1507.496	6248.79	4949.1	885.76	4039.7	9441.25	3150.04	3152.85	658.92	10167.7	4219.27	4579.14	951.4	342.84	311.39	8850.29
29-Nov-02	3061.407	9215.56	1434.182	6570.42	5117.5	936.31	4169.4	10069.87	3326.65	3320.32	724.8	10508.8	4419.56	4646.69	1050.15	361.99	321.41	8991.88
31-Dec-02	3007.113	8578.95	1357.654	6614.54	4630.8	879.82	3940.4	9321.29	3063.91	2892.63	627.55	11268.5	3995.03	4452.45	1093.5	322.73	318.91	8682.03
31-Jan-03	2956.923	8339.94	1499.815	6569.49	4422.5	855.7	3567.4	9258.95	2937.88	2747.83	591.86	10941.1	3970.56	5015.16	1041.85	294.94	307.78	8183.21
28-Feb-03	2800.907	8363.04	1511.932	6555.12	4148.2	841.15	3655.6	9122.66	2754.07	2547.05	575.43	10280.6	3789.98	4432.46	1063.4	266.21	341.52	7796.61
31-Mar-03	2885.159	7972.71	1510.578	6343.29	4085.6	848.18	3613.3	8634.45	2618.46	2423.87	535.7	11273.6	3928.72	4321.22	978.2	248.54	325.56	7095.78
30-Apr-03	3007.513	7831.42	1521.444	6586.07	4542.7	916.92	3926	8717.22	2953.67	2942.04	599.35	12556.7	4204.64	4148.07	934.05	282.63	369.77	6924.49
30-May-03	3010.986	8424.51	1576.261	6859.8	4630.8	963.59	4048.1	9487.38	2991.75	2982.68	633.42	13421.6	4214.89	4555.9	1006.8	280.57	421.08	7940.13
30-Jun-03	3026.874	9083.11	1486.024	6983.14	4813.7	974.5	4031.2	9577.12	3084.1	3220.58	669.93	12972.6	4279.83	4872.15	1134.15	291.55	455.44	7680.74
31-Jul-03	3122.267	9563.21	1476.742	7257.92	5079.1	990.31	4157	10134.83	3210.27	3487.86	713.52	13571.7	4412.87	5318.34	1185.85	317.49	430.3	8088.21
29-Aug-03	3199.712	10343.55	1421.983	7510.32	5124.2	1008.01	4161.1	10908.99	3311.42	3484.58	759.47	15174.5	4595.82	5650.83	1356.55	329.41	484	8470.33
30-Sep-03	3169.536	10219.05	1367.161	7421.13	5043.5	995.97	4091.3	11229.87	3134.99	3256.78	697.52	16010.7	4487.38	5611.41	1417.1	306.78	515.15	8167
31-Oct-03	3272.01	10559.59	1348.303	7772.7	5211.4	1050.71	4287.6	12190.1	3373.2	3655.99	782.36	17982.5	4764.99	6045.12	1555.9	330.22	468.85	8966.62
28-Nov-03	3186.394	10100.57	1397.225	7859.39	5317.5	1058.2	4342.6	12317.47	3424.79	3745.95	796.18	20184	4716.01	5771.77	1615.25	332.19	484.73	8884.73
31-Dec-03	3299.768	10676.64	1497.044	8220.89	5487.8	1111.92	4476.9	12575.94	3557.9	3965.16	810.71	22236.4	4920.73	5890.69	1879.75	337.65	514.71	9495.76
30-Jan-04	3271.997	10783.61	1590.729	8521.39	5736.4	1131.13	4390.7	13289.37	3638.44	4058.6	848.5	21851.4	5103.48	6375.38	1809.75	353.31	551.72	9953.72
27-Feb-04	3360.598	11041.92	1675.067	8788.49	5798.4	1144.94	4492.2	13907.03	3725.44	4018.16	883.42	21755	5092.02	6750.54	1800.3	356.59	591.09	10005.41
31-Mar-04	3415.258	11715.39	1741.623	8585.93	5618.6	1126.21	4385.7	12681.67	3625.23	3856.7	880.5	22142.3	5177.18	6522.19	1771.9	338.87	644.64	9773.27
30-Apr-04	3400.793	11761.79	1595.587	8243.97	5774.4	1107.31	4489.7	11942.96	3674.28	3985.21	862.84	19607.2	5321.85	6117.81	1796.1	341.41	561.78	9455.17
31-May-04	3460.21	11236.37	1555.906	8417.32	5627.1	1120.68	4430.7	12198.24	3669.63	3921.41	803.84	19544.7	5225.55	5977.84	1483.6	337.19	535.4	9525.95
30-Jun-04	3532.885	11858.87	1399.162	8545.58	5619.1	1140.84	4464.1	12285.75	3732.99	4052.73	785.79	21148.9	5466.19	5839.44	1505.6	345.13	534.84	9200.62
30-Jul-04	3536.142	11325.78	1386.202	8458.07	5547.2	1101.72	4413.1	12238.03	3647.1	3895.61	735.34	22336.9	5358.63	5420.57	1632.3	329.91	502.81	9405.23
31-Aug-04	3552.686	11081.79	1342.062	8377.03	5421.7	1104.24	4459.3	12850.28	3594.28	3785.21	803.57	22803.2	5450.52	5765.54	1631.75	323.12	549.28	10242
30-Sep-04	3665.044	10823.57	1396.7	8668.29	5465.3	1114.58	4570.8	13120.03	3640.61	3892.9	835.09	23245.2	5610.33	5845.69	1745.5	323.94	611.03	10780.46
29-Oct-04	3778.638	10771.42	1320.536	8870.97	5363.4	1130.2	4624.2	13054.66	3706.82	3960.25	834.84	23052.2	5681.89	5705.93	1786.9	330.48	632.97	10556.09
30-Nov-04	3931.318	10899.25	1340.771	9030.05	5444.2	1173.82	4703.2	14060.05	3753.75	4126	878.06	25128.3	5973.86	5844.76	1958.8	337.15	570.76	11283.33
