Date	CPI_Australia	CPI_Japan	CPI_China	CPI_Canada	CPI_Switzerland	CPI_US	CPI_UK	CPI_HK	CPI_France	CPI_Germany	CPI_South_Korea	CPI_Brazil	CPI_Ireland	CPI_Taiwan	CPI_India	CPI_Netherlands	CPI_Russia	CPI_South_Africa
31-Dec-99	69.10	96.82	70.01	93.70	92.46	168.30	167.30	72.00	80.32	78.30	65.57	1588.56	75.00	84.68	44.48	73.70	18.39	38.10
31-Jan-00	69.30	96.72	70.94	93.50	92.58	168.80	166.60	71.50	80.25	78.50	65.86	1598.41	74.80	84.41	44.48	73.55	18.82	38.60
29-Feb-00	69.50	96.43	71.86	94.10	92.92	169.80	167.50	71.40	80.35	78.60	66.06	1600.49	75.40	85.66	44.37	74.00	19.02	38.40
31-Mar-00	69.70	96.63	70.86	94.80	92.89	171.20	168.40	71.20	80.73	78.60	66.39	1604.01	75.90	84.19	44.78	74.66	19.14	38.80
30-Apr-00	69.87	96.82	70.44	94.50	92.97	171.30	170.10	71.20	80.73	78.60	66.12	1610.75	76.40	84.89	45.20	74.78	19.31	39.30
31-May-00	70.03	96.92	70.02	94.90	92.93	171.50	170.70	71.10	80.90	78.40	65.79	1610.91	76.90	85.42	45.40	75.02	19.65	39.50
30-Jun-00	70.20	96.72	69.39	95.50	93.27	172.40	171.10	70.80	81.10	78.90	66.12	1614.62	77.40	85.30	45.61	74.94	20.15	39.80
31-Jul-00	71.10	96.43	68.97	95.80	93.34	172.80	170.50	70.70	80.97	79.20	66.39	1640.62	77.40	84.84	45.92	74.75	20.51	40.10
31-Aug-00	72.00	96.72	69.38	95.70	93.10	172.80	170.50	70.50	81.13	79.00	66.72	1662.11	77.80	85.10	45.71	75.08	20.71	40.30
30-Sep-00	72.90	96.63	70.78	96.10	93.57	173.70	171.70	70.60	81.55	79.20	67.59	1665.93	78.00	86.29	45.82	75.99	20.99	40.40
31-Oct-00	72.97	96.43	70.78	96.30	93.47	174.00	171.60	70.60	81.45	79.10	67.52	1668.26	78.40	86.31	46.33	76.12	21.43	40.60
30-Nov-00	73.03	96.43	70.99	96.60	93.91	174.10	172.10	70.70	81.63	79.10	67.12	1673.60	78.50	87.11	46.44	76.11	21.75	40.70
31-Dec-00	73.10	96.43	71.06	96.70	93.84	174.00	172.20	70.50	81.60	80.00	67.39	1683.47	78.50	86.07	46.02	75.66	22.11	40.70
31-Jan-01	73.37	95.86	71.79	96.30	93.78	175.10	171.10	70.40	81.18	79.50	68.12	1693.07	77.70	86.40	45.92	76.31	22.72	41.30
28-Feb-01	73.63	95.66	71.86	96.80	93.65	175.80	172.00	69.70	81.39	80.00	68.45	1700.86	78.40	84.78	45.71	76.98	23.24	41.40
31-Mar-01	73.90	95.76	71.43	97.10	93.80	176.20	172.20	69.80	81.76	80.00	69.05	1707.32	79.00	84.55	45.92	77.70	23.67	41.60
30-Apr-01	74.10	96.05	71.57	97.80	94.06	176.90	173.10	70.20	82.16	80.30	69.32	1717.22	79.60	85.25	46.23	78.13	24.09	41.90
31-May-01	74.30	96.05	71.21	98.60	94.57	177.70	174.20	70.00	82.68	80.70	69.25	1724.26	80.10	85.23	46.54	78.39	24.52	42.00
30-Jun-01	74.50	95.95	70.36	98.70	94.75	178.00	174.40	70.00	82.73	80.80	69.45	1733.23	80.70	85.18	47.16	78.09	24.92	42.20
31-Jul-01	74.57	95.76	70.01	98.40	94.60	177.50	173.30	70.10	82.56	80.90	69.59	1756.28	80.50	84.92	47.78	77.98	25.03	42.20
